word_id,sub_grid,label,colour_fill,subject_description,full_prompt
go_again,go,Again,vibrant,"A plain bold solid yellow circular arrow indicating repeat or do again, single colour, simple and clear, no decorations or multi-coloured elements","A plain bold solid yellow circular arrow indicating repeat or do again, single colour, simple and clear, no decorations or multi-coloured elements, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_back,go,Back,vibrant,"A plain bold solid blue leftward-pointing arrow indicating going back, minimal and clear, no decorative elements","A plain bold solid blue leftward-pointing arrow indicating going back, minimal and clear, no decorative elements, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_downstairs,go,Downstairs,natural,"A child walking DOWNWARD on a flight of indoor stairs, body angled DOWN (not up), one foot already on a LOWER step than the other, head looking forward and slightly down, side view from the side showing clear descending direction (not ascending), full body","A child walking DOWNWARD on a flight of indoor stairs, body angled DOWN (not up), one foot already on a LOWER step than the other, head looking forward and slightly down, side view from the side showing clear descending direction (not ascending), full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_home,go,Home,natural,"A simple house with a warm brown wooden door, two clear blue windows, a red peaked roof, and a small chimney with smoke, set on a small patch of green grass, with a brown path leading to the door and a small child figure with natural skin tones walking along the path toward the house, bold visible outlines on all elements, no thin lines","A simple house with a warm brown wooden door, two clear blue windows, a red peaked roof, and a small chimney with smoke, set on a small patch of green grass, with a brown path leading to the door and a small child figure with natural skin tones walking along the path toward the house, bold visible outlines on all elements, no thin lines, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_jump,go,Jump,natural,"A child clearly jumping upward with both feet visibly off the ground (large visible gap between feet and ground line), arms raised excitedly, with clear motion lines showing upward bounce, full body, side view, the jump must be unambiguous","A child clearly jumping upward with both feet visibly off the ground (large visible gap between feet and ground line), arms raised excitedly, with clear motion lines showing upward bounce, full body, side view, the jump must be unambiguous, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_skip,go,Skip,natural,"A child skipping holding a skipping rope, the rope visible mid-arc curving above the head, both ends of the rope held in each hand, both feet jumping off the ground, full body, side view","A child skipping holding a skipping rope, the rope visible mid-arc curving above the head, both ends of the rope held in each hand, both feet jumping off the ground, full body, side view, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_slide,go,Slide,vibrant,"A child sliding down a colourful playground slide with arms slightly raised, child wearing a blue shirt with natural beige skin tones (NOT red skin), full body in motion","A child sliding down a colourful playground slide with arms slightly raised, child wearing a blue shirt with natural beige skin tones (NOT red skin), full body in motion, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_swim,go,Swim,natural,"A child swimming in water viewed from the side, the entire body in horizontal swimming position with arms forward in a stroke and legs trailing behind, BOTH ARMS AND LEGS submerged in or at the surface of the water (no body parts dangling above water), water visible all around the swimming body","A child swimming in water viewed from the side, the entire body in horizontal swimming position with arms forward in a stroke and legs trailing behind, BOTH ARMS AND LEGS submerged in or at the surface of the water (no body parts dangling above water), water visible all around the swimming body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
go_swing,go,Swing,vibrant,"A child sitting on a playground swing with the swing seat clearly visible as a solid rectangular plank under the child, the child clearly seated ON the swing (not clipping through it), swing chains attached to a frame above, child with natural skin tones (NOT pink skin), full body","A child sitting on a playground swing with the swing seat clearly visible as a solid rectangular plank under the child, the child clearly seated ON the swing (not clipping through it), swing chains attached to a frame above, child with natural skin tones (NOT pink skin), full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
look_see,look,See,natural,"A pair of wide open alert cartoon eyes looking forward, with prominent clearly visible round irises and pupils, no heavy eyelids, no hooding, isolated eyes with no face around them","A pair of wide open alert cartoon eyes looking forward, with prominent clearly visible round irises and pupils, no heavy eyelids, no hooding, isolated eyes with no face around them, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
look_show,look,Show,natural,"A hand presenting or displaying a small wooden toy building block with palm facing up, the wooden block clearly visible resting in the open hand, the block is the only object shown (no medication, no pills, no medicine, just a child's wooden toy block)","A hand presenting or displaying a small wooden toy building block with palm facing up, the wooden block clearly visible resting in the open hand, the block is the only object shown (no medication, no pills, no medicine, just a child's wooden toy block), children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
look_smell,look,Smell,natural,"A cartoon nose viewed from the side with curving aroma lines rising upward toward it from a single clearly visible pink flower (tulip or daisy) below, indicating smelling the flower's fragrance","A cartoon nose viewed from the side with curving aroma lines rising upward toward it from a single clearly visible pink flower (tulip or daisy) below, indicating smelling the flower's fragrance, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_enough,stop,Enough,natural,"A single flat raised palm facing outward in a firm stop or halt gesture, isolated hand with a single uniform natural skin tone (no multi-colour patches), no decorations","A single flat raised palm facing outward in a firm stop or halt gesture, isolated hand with a single uniform natural skin tone (no multi-colour patches), no decorations, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_go-away,stop,Go away,natural,"A single hand with palm facing downward making a clear shooing gesture with fingers flicking outward, with three curving motion lines pushing away from the hand, single natural skin tone, simple and clear","A single hand with palm facing downward making a clear shooing gesture with fingers flicking outward, with three curving motion lines pushing away from the hand, single natural skin tone, simple and clear, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_leave-me,stop,Leave me,natural,"A child with both arms firmly crossed over their chest in a closed-off protective posture, with a clear frowning expression and turned away slightly, head and shoulders, clearly indicating wanting personal space and to be left alone","A child with both arms firmly crossed over their chest in a closed-off protective posture, with a clear frowning expression and turned away slightly, head and shoulders, clearly indicating wanting personal space and to be left alone, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_need-help,stop,Need help,vibrant,"A single hand raised high waving for attention, with a small SOS exclamation marker beside it, single natural skin tone on the hand (NOT bright red), simple and clear","A single hand raised high waving for attention, with a small SOS exclamation marker beside it, single natural skin tone on the hand (NOT bright red), simple and clear, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_need-quiet,stop,Need quiet,natural,"A single index finger held vertically and pressed against closed lips in a clear shush gesture, with a small Zzz quiet symbol floating beside the head, simple and iconic, head and shoulders","A single index finger held vertically and pressed against closed lips in a clear shush gesture, with a small Zzz quiet symbol floating beside the head, simple and iconic, head and shoulders, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_scared,stop,Scared,natural,"A face-only emotion symbol with widely open round eyes showing prominent whites around the irises, raised eyebrows arched in fear, and an open mouth in a gasp of fear, dramatically and unambiguously expressing fright, head and face only with no body","A face-only emotion symbol with widely open round eyes showing prominent whites around the irises, raised eyebrows arched in fear, and an open mouth in a gasp of fear, dramatically and unambiguously expressing fright, head and face only with no body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_stop-hitting,stop,Stop hitting,vibrant,"A bold red octagonal stop sign with clean solid red fill and a white border, positioned firmly in front of a single raised fist with natural skin tone (no multi-coloured patches on the fist), the stop sign clearly blocking the fist from striking","A bold red octagonal stop sign with clean solid red fill and a white border, positioned firmly in front of a single raised fist with natural skin tone (no multi-coloured patches on the fist), the stop sign clearly blocking the fist from striking, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_stop-music,stop,Stop music,vibrant,"A bold red octagonal stop sign with clean solid red fill and white border, positioned over a single musical note in one consistent solid dark blue colour, the stop sign blocking the music","A bold red octagonal stop sign with clean solid red fill and white border, positioned over a single musical note in one consistent solid dark blue colour, the stop sign blocking the music, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_stop-please,stop,Stop please,vibrant,"A bold red octagonal stop sign held up by a single hand with another natural-skin-tone hand below in a clear praying-hands please gesture (palms together pointing up), both hands clean with no decorative dots or yellow patches","A bold red octagonal stop sign held up by a single hand with another natural-skin-tone hand below in a clear praying-hands please gesture (palms together pointing up), both hands clean with no decorative dots or yellow patches, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_too-close,stop,Too close,vibrant,"A single open hand with palm pushing outward toward the viewer in a clear 'back away' gesture, with a curved dashed line in front indicating personal space being invaded, simple and clear","A single open hand with palm pushing outward toward the viewer in a clear 'back away' gesture, with a curved dashed line in front indicating personal space being invaded, simple and clear, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_too-dark,stop,Too dark,natural,"A dark navy blue night scene with a few small white stars in the sky and a single small hand from the side reaching toward a light switch on a wall, coherent dark blue palette, indicating the darkness is too much","A dark navy blue night scene with a few small white stars in the sky and a single small hand from the side reaching toward a light switch on a wall, coherent dark blue palette, indicating the darkness is too much, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_too-fast,stop,Too fast,vibrant,"A bold red octagonal stop sign positioned in front of a single speeding car with strong clear horizontal motion lines streaming behind the car, the stop sign clearly blocking the speeding vehicle","A bold red octagonal stop sign positioned in front of a single speeding car with strong clear horizontal motion lines streaming behind the car, the stop sign clearly blocking the speeding vehicle, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
stop_too-loud,stop,Too loud,natural,"A face viewed from the front with both hands clearly pressed against the sides of the head COVERING THE EARS (hands must be over the ears not nearby), with bold sound wave lines arriving from outside the head indicating overwhelming loud noise, head and hands only","A face viewed from the front with both hands clearly pressed against the sides of the head COVERING THE EARS (hands must be over the ears not nearby), with bold sound wave lines arriving from outside the head indicating overwhelming loud noise, head and hands only, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
want_drink,want,Drink,natural,"A child drinking from a cup with a curved straw held to the mouth, head and shoulders, friendly content expression matching the consistent character style of the rest of the symbol set, natural skin tones, simple clean face","A child drinking from a cup with a curved straw held to the mouth, head and shoulders, friendly content expression matching the consistent character style of the rest of the symbol set, natural skin tones, simple clean face, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
want_take,want,Take,natural,"A child's hand reaching down and clearly grasping a single bright red apple from a wooden table surface, hand wrapping around the apple, the apple and hand both prominently visible, the action of taking the apple is unambiguous","A child's hand reaching down and clearly grasping a single bright red apple from a wooden table surface, hand wrapping around the apple, the apple and hand both prominently visible, the action of taking the apple is unambiguous, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
want_try,want,Try,natural,"A child with both arms raised at their sides with hands clenched into determined fists in a clear effort pose, with a focused determined expression and a small star or sparkle above the head indicating effort, head and shoulders, clearly showing trying","A child with both arms raised at their sides with hands clenched into determined fists in a clear effort pose, with a focused determined expression and a small star or sparkle above the head indicating effort, head and shoulders, clearly showing trying, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, human figures with natural skin tones (avoid bright red on skin), no medication or pills, style similar to PCS HD educational picture symbols."
